# time (s)	angle (radians)
0.0000	1.3482
0.0039	1.3420
0.0078	1.3420
0.0117	1.3420
0.0156	1.3358
0.0195	1.3358
0.0234	1.3296
0.0273	1.3296
0.0312	1.3234
0.0352	1.3172
0.0391	1.3172
0.0430	1.3111
0.0469	1.3049
0.0508	1.3049
0.0547	1.2987
0.0586	1.2925
0.0625	1.2863
0.0664	1.2801
0.0703	1.2740
0.0742	1.2740
0.0781	1.2678
0.0820	1.2616
0.0859	1.2554
0.0898	1.2430
0.0938	1.2368
0.0977	1.2307
0.1016	1.2245
0.1055	1.2183
0.1094	1.2121
0.1133	1.1997
0.1172	1.1936
0.1211	1.1874
0.1250	1.1750
0.1289	1.1688
0.1328	1.1565
0.1367	1.1503
0.1406	1.1379
0.1445	1.1317
0.1484	1.1193
0.1523	1.1132
0.1562	1.1008
0.1602	1.0884
0.1641	1.0761
0.1680	1.0699
0.1719	1.0575
0.1758	1.0451
0.1797	1.0328
0.1836	1.0204
0.1875	1.0080
0.1914	0.9957
0.1953	0.9833
0.1992	0.9709
0.2031	0.9586
0.2070	0.9462
0.2109	0.9338
0.2148	0.9215
0.2188	0.9029
0.2227	0.8905
0.2266	0.8782
0.2305	0.8658
0.2344	0.8472
0.2383	0.8349
0.2422	0.8163
0.2461	0.8040
0.2500	0.7854
0.2539	0.7730
0.2578	0.7545
0.2617	0.7421
0.2656	0.7236
0.2695	0.7050
0.2734	0.6926
0.2773	0.6741
0.2812	0.6555
0.2852	0.6370
0.2891	0.6184
0.2930	0.6061
0.2969	0.5875
0.3008	0.5689
0.3047	0.5504
0.3086	0.5318
0.3125	0.5133
0.3164	0.4947
0.3203	0.4700
0.3242	0.4514
0.3281	0.4329
0.3320	0.4143
0.3359	0.3958
0.3398	0.3711
0.3438	0.3525
0.3477	0.3339
0.3516	0.3092
0.3555	0.2907
0.3594	0.2721
0.3633	0.2474
0.3672	0.2288
0.3711	0.2041
0.3750	0.1855
0.3789	0.1608
0.3828	0.1422
0.3867	0.1175
0.3906	0.0928
0.3945	0.0742
0.3984	0.0495
0.4023	0.0247
0.4062	0.0062
0.4102	-0.0186
0.4141	-0.0433
0.4180	-0.0680
0.4219	-0.0866
0.4258	-0.1113
0.4297	-0.1361
0.4336	-0.1608
0.4375	-0.1855
0.4414	-0.2103
0.4453	-0.2350
0.4492	-0.2536
0.4531	-0.2783
0.4570	-0.3030
0.4609	-0.3278
0.4648	-0.3525
0.4688	-0.3772
0.4727	-0.4020
0.4766	-0.4267
0.4805	-0.4514
0.4844	-0.4762
0.4883	-0.5009
0.4922	-0.5257
0.4961	-0.5504
0.5000	-0.5751
0.5039	-0.5999
0.5078	-0.6246
0.5117	-0.6493
0.5156	-0.6741
0.5195	-0.6988
0.5234	-0.7236
0.5273	-0.7483
0.5312	-0.7730
0.5352	-0.7978
0.5391	-0.8163
0.5430	-0.8411
0.5469	-0.8658
0.5508	-0.8905
0.5547	-0.9153
0.5586	-0.9400
0.5625	-0.9647
0.5664	-0.9895
0.5703	-1.0142
0.5742	-1.0390
0.5781	-1.0575
0.5820	-1.0822
0.5859	-1.1070
0.5898	-1.1317
0.5938	-1.1565
0.5977	-1.1750
0.6016	-1.1997
0.6055	-1.2245
0.6094	-1.2430
0.6133	-1.2678
0.6172	-1.2863
0.6211	-1.3111
0.6250	-1.3358
0.6289	-1.3543
0.6328	-1.3791
0.6367	-1.3976
0.6406	-1.4162
0.6445	-1.4409
0.6484	-1.4595
0.6523	-1.4780
0.6562	-1.4966
0.6602	-1.5213
0.6641	-1.5399
0.6680	-1.5584
0.6719	-1.5770
0.6758	-1.5955
0.6797	-1.6141
0.6836	-1.6326
0.6875	-1.6512
0.6914	-1.6697
0.6953	-1.6821
0.6992	-1.7007
0.7031	-1.7192
0.7070	-1.7316
0.7109	-1.7501
0.7148	-1.7625
0.7188	-1.7811
0.7227	-1.7934
0.7266	-1.8120
0.7305	-1.8244
0.7344	-1.8367
0.7383	-1.8553
0.7422	-1.8676
0.7461	-1.8800
0.7500	-1.8924
0.7539	-1.9047
0.7578	-1.9171
0.7617	-1.9295
0.7656	-1.9357
0.7695	-1.9480
0.7734	-1.9604
0.7773	-1.9728
0.7812	-1.9790
0.7852	-1.9913
0.7891	-1.9975
0.7930	-2.0099
0.7969	-2.0161
0.8008	-2.0284
0.8047	-2.0346
0.8086	-2.0408
0.8125	-2.0470
0.8164	-2.0532
0.8203	-2.0594
0.8242	-2.0717
0.8281	-2.0717
0.8320	-2.0779
0.8359	-2.0841
0.8398	-2.0903
0.8438	-2.0965
0.8477	-2.0965
0.8516	-2.1026
0.8555	-2.1026
0.8594	-2.1088
0.8633	-2.1088
0.8672	-2.1150
0.8711	-2.1150
0.8750	-2.1150
0.8789	-2.1212
0.8828	-2.1212
0.8867	-2.1212
0.8906	-2.1212
0.8945	-2.1212
0.8984	-2.1212
0.9023	-2.1212
0.9062	-2.1212
0.9102	-2.1212
0.9141	-2.1212
0.9180	-2.1212
0.9219	-2.1150
0.9258	-2.1150
0.9297	-2.1150
0.9336	-2.1150
0.9375	-2.1088
0.9414	-2.1088
0.9453	-2.1026
0.9492	-2.1026
0.9531	-2.0965
0.9570	-2.0965
0.9609	-2.0903
0.9648	-2.0903
0.9688	-2.0841
0.9727	-2.0841
0.9766	-2.0779
0.9805	-2.0717
0.9844	-2.0717
0.9883	-2.0655
0.9922	-2.0594
0.9961	-2.0532
1.0000	-2.0470
1.0039	-2.0408
1.0078	-2.0346
1.0117	-2.0346
1.0156	-2.0284
1.0195	-2.0161
1.0234	-2.0099
1.0273	-2.0037
1.0312	-1.9975
1.0352	-1.9913
1.0391	-1.9851
1.0430	-1.9790
1.0469	-1.9666
1.0508	-1.9604
1.0547	-1.9542
1.0586	-1.9418
1.0625	-1.9357
1.0664	-1.9295
1.0703	-1.9171
1.0742	-1.9109
1.0781	-1.8986
1.0820	-1.8924
1.0859	-1.8800
1.0898	-1.8738
1.0938	-1.8615
1.0977	-1.8491
1.1016	-1.8429
1.1055	-1.8305
1.1094	-1.8182
1.1133	-1.8058
1.1172	-1.7934
1.1211	-1.7872
1.1250	-1.7749
1.1289	-1.7625
1.1328	-1.7501
1.1367	-1.7378
1.1406	-1.7254
1.1445	-1.7130
1.1484	-1.7007
1.1523	-1.6883
1.1562	-1.6759
1.1602	-1.6636
1.1641	-1.6512
1.1680	-1.6326
1.1719	-1.6203
1.1758	-1.6079
1.1797	-1.5955
1.1836	-1.5770
1.1875	-1.5646
1.1914	-1.5522
1.1953	-1.5337
1.1992	-1.5213
